iter	Passed	Remaining
881	3281	632
882	3285	628
883	3288	625
884	3292	621
885	3295	617
886	3299	613
887	3302	609
888	3306	606
889	3309	602
890	3312	598
891	3316	594
892	3319	591
893	3323	587
894	3326	583
895	3330	579
896	3333	576
897	3337	572
898	3340	568
899	3343	564
900	3347	561
901	3351	557
902	3355	553
903	3359	550
904	3363	546
905	3367	542
906	3371	538
907	3375	535
908	3379	531
909	3383	527
910	3386	524
911	3390	520
912	3394	516
913	3399	513
914	3402	509
915	3406	505
916	3410	502
917	3414	498
918	3419	494
919	3422	491
920	3426	487
921	3430	483
922	3434	480
923	3437	476
924	3441	472
925	3444	468
926	3448	465
927	3452	461
928	3455	457
929	3459	453
930	3463	450
931	3466	446
932	3470	442
933	3474	438
934	3477	435
935	3481	431
936	3484	427
937	3488	423
938	3492	420
939	3495	416
940	3499	412
941	3502	409
942	3506	405
943	3509	401
944	3513	397
945	3516	394
946	3520	390
947	3523	386
948	3527	382
949	3530	379
950	3534	375
951	3538	371
952	3542	367
953	3546	364
954	3550	360
955	3554	356
956	3558	353
957	3562	349
958	3566	345
959	3570	342
960	3573	338
961	3577	334
962	3581	330
963	3585	327
964	3588	323
965	3592	319
966	3596	316
967	3599	312
968	3604	308
969	3609	305
970	3613	301
971	3616	297
972	3621	294
973	3624	290
974	3628	286
975	3631	282
976	3635	279
977	3639	275
978	3643	271
979	3646	267
980	3650	264
981	3654	260
982	3658	256
983	3661	253
984	3665	249
985	3669	245
986	3672	241
987	3676	238
988	3680	234
989	3684	230
990	3688	227
991	3691	223
992	3695	219
993	3698	215
994	3702	212
995	3706	208
996	3709	204
997	3713	200
998	3716	197
999	3720	193
1000	3723	189
1001	3727	185
1002	3730	182
1003	3734	178
1004	3738	174
1005	3742	171
1006	3746	167
1007	3750	163
1008	3753	159
1009	3757	156
1010	3760	152
1011	3764	148
1012	3768	145
1013	3772	141
1014	3775	137
1015	3779	133
1016	3783	130
1017	3787	126
1018	3791	122
1019	3794	119
1020	3798	115
1021	3803	111
1022	3807	107
1023	3811	104
1024	3817	100
1025	3821	96
1026	3824	93
1027	3828	89
1028	3831	85
1029	3834	81
1030	3838	78
1031	3841	74
1032	3845	70
1033	3848	67
1034	3852	63
1035	3856	59
1036	3859	55
1037	3863	52
1038	3866	48
1039	3870	44
1040	3873	40
1041	3877	37
1042	3881	33
1043	3884	29
1044	3888	26
1045	3892	22
1046	3895	18
1047	3899	14
1048	3902	11
1049	3905	7
1050	3909	3
1051	3912	0
